"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"2","0.000002","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"3","0.997918","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"4","0.997922","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"5","2.000349","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"6","2.000354","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"7","2.080161","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"8","2.999305","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"9","2.999350","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"10","2.999377","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"11","3.001197","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"12","3.001198","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"13","3.012091","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"14","3.012092","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"15","3.030914","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"16","3.030916","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"17","3.034456","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"18","3.034458","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"19","3.049253","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"20","3.049255","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"21","3.077187","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"22","3.077189","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"23","3.077516","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"24","3.077518","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"25","3.077753","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"26","3.077755","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"27","3.103806","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"28","3.103920","5a:94:d2:14:5a:51","0a:00:27:00:00:00","ARP","42","192.168.56.101 is at 5a:94:d2:14:5a:51"
"29","3.111072","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"30","3.111073","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"31","3.139460","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"32","3.139461","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"33","3.160213","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"34","3.160215","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"35","3.160221","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"36","3.311989","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"37","3.311993","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"38","3.359655","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"39","3.359657","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"40","3.501339","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"41","3.501343","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"42","3.623614","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"43","3.623616","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"44","3.631550","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"45","3.631551","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"46","3.792866","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"47","3.792870","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"48","3.824519","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"49","3.824523","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"50","3.824579","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"51","3.824580","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"52","3.824615","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"53","3.824616","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"54","3.890204","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"55","3.890208","192.168.56.101","239.255.255.250","UDP","666","65391  >  3702 Len=624"
"56","4.059200","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"57","4.059202","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"58","4.492360","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"59","4.492362","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"60","4.576035","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"61","4.576038","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"62","4.576113","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"63","4.576114","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"64","4.576149","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"65","4.576150","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"66","4.593188","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"67","4.593201","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0xc4c8 A wpad"
"68","4.796217","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"69","4.796220","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"70","4.809049","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"71","4.809052","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"72","5.326475","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"73","5.326479","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"74","5.326561","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"75","5.326563","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"76","5.326627","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"77","5.326628","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"78","5.550135","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"79","5.550139","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"80","5.568999","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"81","5.569001","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"82","5.671692","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"83","5.671693","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x971a A isatap"
"84","5.877137","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"85","5.877140","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"86","6.044487","192.168.56.101","8.8.8.8","DNS","85","Standard query 0xab76 A teredo.ipv6.microsoft.com"
"87","6.063997","8.8.8.8","192.168.56.101","DNS","158","Standard query response 0xab76 No such name A teredo.ipv6.microsoft.com SOA ns1-04.azure-dns.com"
"88","6.084948","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"89","6.084950","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<1e>"
"90","6.293111","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"91","6.293116","192.168.56.101","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"92","6.356465","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"93","6.356468","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"94","6.387998","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
